z,h_km_s_mpc,sigma_plus,sigma_minus,label,reference_key,source_kind,note
0.005,73.2,0.9,0.9,Riess+24,Riess2024,distance_ladder,Latest peer-reviewed SH0ES/HST estimate from Riess et al. 2024 ApJ 977 120
0.07,69.0,19.6,19.6,Zhang+14 bin 1,Zhang2014,cosmic_chronometer,SDSS DR7 luminous red galaxies
0.12,68.6,26.2,26.2,Zhang+14 bin 2,Zhang2014,cosmic_chronometer,SDSS DR7 luminous red galaxies
0.1797,75.0,4.0,4.0,Moresco+12 a,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.1993,75.0,5.0,5.0,Moresco+12 b,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.20,72.9,29.6,29.6,Zhang+14 bin 3,Zhang2014,cosmic_chronometer,SDSS DR7 luminous red galaxies
0.28,88.8,36.6,36.6,Zhang+14 bin 4,Zhang2014,cosmic_chronometer,SDSS DR7 luminous red galaxies
0.3519,83.0,14.0,14.0,Moresco+12 c,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.4293,91.8,5.3,5.3,Moresco+16 comb,Moresco2016,cosmic_chronometer,Combined BOSS DR9 cosmic chronometer measurement
0.47,89.0,49.6,49.6,Ratsimbazafy+17,Ratsimbazafy2017,cosmic_chronometer,SALT luminous red galaxies; stat and syst added in quadrature
0.5929,104.0,13.0,13.0,Moresco+12 d,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.6797,92.0,8.0,8.0,Moresco+12 e,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.75,98.8,33.6,33.6,Borghi+22,Borghi2022,cosmic_chronometer,LEGA-C Lick-index analysis
0.7812,105.0,12.0,12.0,Moresco+12 f,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
0.80,113.1,32.8,18.7,Jiao+23,Jiao2023,cosmic_chronometer,LEGA-C full-spectrum fit; total uncertainty symmetrized from stat+syst
0.8754,125.0,17.0,17.0,Moresco+12 g,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
1.037,154.0,20.0,20.0,Moresco+12 h,Moresco2012,cosmic_chronometer,D4000-based cosmic chronometer point
1.26,135.0,65.0,65.0,Tomasetti+23,Tomasetti2023,cosmic_chronometer,VANDELS full-spectrum fit; published A&A 2023
1.363,160.0,33.6,33.6,Moresco+15,Moresco2015,cosmic_chronometer,High-z cosmic chronometer point
